Product name, Image, Price, Stock, Description
ASUS ROG Strix GeForce RTX 2080 Ti OC 11GB,https://files.pccasegear.com/images/1538025661-ROG-STRIX-RTX2080TI-011G-GAMING-th.jpg,2149,In stock,The ASUS ROG Strix GeForce RTX 2080 Ti OC graphics card features a 1350MHz base clock with a 1665MHz boost clock in OC mode| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| OpenGL 4.5 support| DirectX 12 support| Axial-tech Fans| 2x HDMI 2.0b| 2x DisplayPort 1.4|…
ASUS ROG Strix GeForce RTX 2080 Ti 11GB,https://files.pccasegear.com/images/1542087692-ROG-STRIX-RTX2080TI-11G-GAMING-th.jpg,1949,In stock,The ASUS GeForce ROG Strix RTX 2080 Ti graphics card features a 1350MHz base clock with a 1560MHz boost clock in OC mode| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| OpenGL 4.5 support| DirectX 12 support| 2.7-Slot Design| 2x HDMI 2.0b| 2x DisplayPort 1.4| US…
ASUS ROG Strix GeForce RTX 2080 Ti Advanced 11GB,https://files.pccasegear.com/images/1538025661-ROG-STRIX-RTX2080TI-011G-GAMING-th.jpg,2099,Check back later!,The ASUS ROG Strix GeForce RTX 2080 Ti OC graphics card features a 1350MHz base clock with a 1590MHz boost clock in OC mode| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| OpenGL 4.5 support| DirectX 12 support| Axial-tech Fans| 2x HDMI 2.0b| 2x DisplayPort 1.4|…
Gigabyte AORUS GeForce RTX 2080 Ti 11GB,https://files.pccasegear.com/images/1541667560-GV-N208TAORUS-11GCs.jpg,1899,In stock,On sale! (normally $1949) The Gigabyte AORUS GeForce RTX 2080 Ti graphics card features a core clock of 1695MHz| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| Windforce 3X cooling| OpenGL 4.5 support| DirectX 12 support| HDMI 2.0b| 3x DisplayPort 1.4| USB Type-…
Gigabyte AORUS GeForce RTX 2080 Ti Extreme Waterforce 11G,https://files.pccasegear.com/images/1546772384-GV-N208TAORUS-X-W-11GC-th.jpg,2299,Check back later!,The Gigabyte AORUS GeForce RTX 2080 Ti Extreme Waterforce graphics card features a 1770MHz core clock| 11GB 352-bit GDDR6 memory| 14140 MHz memory clock| PCI-E 3.0| 4352 CUDA cores| WATERFORCE all-in-one cooling system| RGB Fusion – 16.7M customisable colour lighting|…
Gigabyte AORUS GeForce RTX 2080 Ti Extreme Waterforce WB 11G,https://files.pccasegear.com/images/1541986279-GV-N208TAORUSX-WB-11GC-th.jpg,2299,ETA: 11/10/19,The Gigabyte AORUS GeForce RTX 2080 Ti Extreme Waterforce WB graphics card features a 1770MHz core clock| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| WATERFORCE Water Block cooling system| RGB Fusion – 16.7M customisable colour lighting| Metal Back Plate wi…
Gigabyte AORUS GeForce RTX 2080 Ti Xtreme 11GB,https://files.pccasegear.com/images/1542681149-GV-N208TAORUS-X-11GC-th.jpg,2099,ETA: 11/10/19,The Gigabyte AORUS GeForce RTX 2080 Ti Extreme graphics card features a core clock of 1770MHz| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| WINDFORCE Stack 3X 100mm Fan Cooling System with RGB light reinvented| OpenGL 4.5 support| DirectX 12 support| 3x HDMI 2…
Gigabyte GeForce RTX 2080 Ti Gaming OC 11GB,https://files.pccasegear.com/images/1537248467-GV-N208T-GAMING-OC-11GC-th.jpg,1699,In stock,On sale! (normally $1799) The Gigabyte GeForce RTX 2080 Ti Gaming OC graphics card features a core clock speed up to 1665MHz in OC mode 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| Windforce 3X cooling| OpenGL 4.5 support| DirectX 12 support| HDMI 2.0b| 3x Dis…
Gigabyte GeForce RTX 2080 Ti Windforce OC 11GB,https://files.pccasegear.com/images/1537248683-GV-N208T-WF3-OC-11GC-th.jpg,1599,In stock,On sale! (normally $1749) The Gigabyte GeForce RTX 2080 Ti Windforce OC graphics card features a core clock speed of up to 1635MHz in OC mode| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| Windforce 3X cooling| OpenGL 4.5 support| DirectX 12 support| HDMI 2.0b|…
MSI GeForce RTX 2080 Ti Gaming X Trio 11GB,https://files.pccasegear.com/images/1537322457-RTX2080TI-GAMING-X-TRIO-th.jpg,1949,In stock,The MSI GeForce RTX 2080 Ti Gaming X Trio graphics card features a 1350MHz base clock with a 1755MHz boost clock| 11GB 352-bit GDDR6 memory| PCI-E 3.0| 4352 CUDA cores| OpenGL 4.5 support| DirectX 12 support| RGB Mystic Lighting| TRI-FROZR Thermal Design| Torx Fan 3.0|…
